userID,friendID
145,102809
145,748640
211,982806
1539,40167
1539,298171
1539,466173
1539,602154
1539,672753
1539,930582
1539,954961
2214,520152
3028,6135
3028,73080
3028,138166
3028,239727
3028,305246
3028,328648
3028,360936
3028,368320
3028,398903
3028,453432
3028,489577
3028,613750
3028,616727
3028,801034
3028,860145
3028,862066
3028,864274
3028,871393
3859,131584
3859,138760
3859,176789
3859,197033
3859,334830
3859,398335
3859,807227
3859,821723
3859,948660
5334,32813
5334,128154
5334,142230
5334,160451
5334,162330
5334,187384
5334,192054
5334,255620
5334,394550
5334,402706
5334,430771
5334,477165
5334,575204
5334,585626
5334,617795
5334,719344
5334,883476
5334,973459
5545,170550
5545,281601
5545,839843
5795,343297
5795,565019
6135,3028
6135,21488
6135,128154
6135,198694
6135,204172
6135,301186
6135,305246
6135,319372
6135,453966
6135,458072
6135,529359
6135,555976
6135,562855
6135,616654
6135,654489
6135,728654
6135,729972
6135,748236
6135,767243
6135,806610
6135,864274
6135,872280
6135,877276
6135,887200
6135,897835
7848,46049
7848,117383
7848,308470
7848,364315
7848,606675
7848,672753
7848,781907
8724,256059
8724,338199
8724,658760
8724,806873
8724,839843
8724,900442
8724,917325
8724,986827
8900,452902
8900,463864
8900,978120
8900,991074
9034,726202
9034,772279
9072,50241
9072,118098
9072,256407
9072,328891
9072,819316
9072,983454
9421,138760
9421,473614
9421,491298
9797,218067
9797,377319
9797,466404
10146,387838
10146,457741
10146,991074
10243,149845
10243,190171
10243,208192
10243,648669
10243,721150
10243,730985
10243,733443
10243,748398
10243,803238
10243,809698
10243,815960
10243,860145
10243,899680
12180,182620
12180,263144
12180,295548
12180,366716
12180,687395
12180,828331
12180,927331
12180,931256
12180,940045
12494,88225
12494,965152
12778,109353
12778,548897
12778,677025
12778,687395
12778,892762
13084,184614
13084,229999
13084,346607
13084,360729
13084,368320
13084,423178
13084,478885
13084,651873
13084,724674
13084,816529
13084,824555
13084,856942
13163,102258
13163,711678
13163,820043
13163,915822
13713,128154
13713,189623
13713,575684
14468,35632
14468,73483
14468,166292
14468,674938
14468,760280
14688,339202
14688,342670
14688,550465
15310,35632
15310,257737
15310,303118
15310,416960
15310,492335
15310,615249
15310,703359
15310,984969
15762,46456
15762,73080
15762,149845
15762,154611
15762,179421
15762,196145
15762,199575
15762,220422
15762,253537
15762,257737
15762,299012
15762,300804
15762,305246
15762,323807
15762,329721
15762,338687
15762,429368
15762,439173
15762,453432
15762,457566
15762,463435
15762,513326
15762,526158
15762,533645
15762,559800
15762,573417
15762,583847
15762,668296
15762,709789
15762,728654
15762,734572
15762,757732
15762,777914
15762,834971
15762,869053
15762,871393
15762,892491
15762,898340
15762,927331
15762,933875
15762,956139
15762,991074
16154,154611
16154,226089
16154,834971
16583,69175
16583,166292
16583,562020
16583,646566
16583,897538
16948,33893
16948,36970
16948,40543
16948,92970
16948,208192
16948,208530
16948,243949
16948,346607
16948,347609
16948,583351
16948,583366
16948,588774
16948,606675
16948,642984
16948,827354
16948,867717
16948,878938
16948,897590
17180,49766
17180,84439
17180,102901
17180,106422
17180,182339
17180,218067
17180,328891
17180,385467
17180,443869
17180,466404
17180,552679
17180,618019
17180,808503
17180,881873
17180,927331
17180,929711
17887,18043
17887,91959
17887,568086
18043,17887
18043,30144
18043,50241
18043,65347
18043,74017
18043,82245
18043,152481
18043,161042
18043,189144
18043,224720
18043,225106
18043,226184
18043,249741
18043,252585
18043,272515
18043,296720
18043,301337
18043,322250
18043,338687
18043,374572
18043,379468
18043,381742
18043,383577
18043,397925
18043,411549
18043,417664
18043,489577
18043,494923
18043,527585
18043,581813
18043,617866
18043,640322
18043,764148
18043,792165
18043,853276
18043,927895
18043,936822
18043,956139
18043,961018
18043,978120
20501,470988
20501,548897
20501,552679
20501,562855
21197,44162
21197,46049
21197,72474
21197,170321
21197,328648
21197,555524
21197,572310
21197,737755
21197,820043
21197,943405
21197,977079
