userID,artistID,weight
145,64135,131
145,71619,445
145,76710,74
145,77532,157
145,98678,67
145,124806,83
145,138281,99
145,158427,102
145,161791,508
145,172260,264
145,222168,156
145,247498,94
145,313852,103
145,322141,78
145,362489,74
145,431125,178
145,467242,100
145,530577,423
145,539831,150
145,549677,105
145,657582,91
145,662929,112
145,682351,147
145,693469,272
145,701088,187
145,720021,114
145,731343,263
145,760269,138
145,825117,197
145,838773,252
145,853711,100
145,880675,101
145,923116,156
145,942223,173
145,955087,5450
145,998913,132
211,16297,188
211,262333,239
211,457602,98
211,589532,192
211,680503,172
211,706119,133
211,748527,293
211,832710,114
211,880536,103
211,990451,80
1539,34924,679
1539,168259,602
1539,209750,577
1539,226186,942
1539,287725,707
1539,292823,1020
1539,321904,464
1539,342381,567
1539,361613,505
1539,374639,2782
1539,419839,476
1539,437750,1466
1539,445723,1053
1539,498393,471
1539,530632,693
1539,546334,657
1539,671209,3366
1539,675314,578
1539,682351,1719
1539,684955,1027
1539,696504,531
1539,731646,1016
1539,982698,843
2214,23763,3
2214,85370,8
2214,251377,12
2214,252330,2
2214,279019,5
2214,306419,5
2214,324421,7
2214,325505,3
2214,357060,2
2214,397131,2
2214,419839,33
2214,442180,20
2214,479451,6
2214,513382,5
2214,528099,3
2214,539831,2
2214,610393,52
2214,676985,4
2214,693469,4
2214,694628,5
2214,772796,5
2214,779403,6
2214,810277,9
2214,810856,3
2214,952765,4
3028,68618,474
3028,118072,529
3028,143052,478
3028,175115,782
3028,282435,420
3028,302116,613
3028,313852,517
3028,355309,607
3028,361613,527
3028,390497,1123
3028,395552,461
3028,419839,415
3028,431405,606
3028,515741,650
3028,521917,554
3028,626986,495
3028,707607,797
3028,918042,812
3028,923116,796
3028,940833,1480
3859,67542,38
3859,110101,58
3859,122935,120
3859,245332,44
3859,259282,55
3859,356350,77
3859,358877,40
3859,414172,66
3859,460195,47
3859,493427,51
3859,545918,50
3859,567422,46
3859,617660,733
3859,748799,235
3859,753436,133
3859,785196,67
3859,839911,78
3859,901795,88
3859,929648,46
3859,989717,296
5334,46897,146
5334,62959,216
5334,124092,703
5334,134783,195
5334,168040,81
5334,175115,178
